job_title,company_name,location,summary
Sr. Data Engineer,Betterfuture solutions,Foster City. CA 94404,Experience analyzing and collecting data as our data needs grow. We have MySQL databases for our production OLTP systems and our data lake/data warehouse built
Sr Data Engineer,Tesla,Lathrop. CA,Have extensive knowledge building data pipelines and infrastructure that can adapt and scale as data volume grows and customer needs evolve.
Data Engineer,Brillio,Santa Clara. CA 95054,Strong experience and understanding of very largescale data architecture. solutioning and operationalization of data warehouses. data lakes and analytics
Data Engineer,Osmind,San Francisco. CA•Remote,Develop complex data processing pipelines from multiple data sources. 4+ years data engineering experience. Lead the design of our data infrastructure.
Data Engineer Manager,Snapchat,Los Angeles. CA 90291 (Venice area),Experience leading a small team of data or software engineers. Develop data pipelines adhering with privacy and governance principles.
Sr. Data Engineer,Callaway Golf Company,Carlsbad. CA 92008 (North Beach area),The primary responsibilities will be in building. managing and optimizing data pipelines and then moving these data pipelines effectively into production for
Data Engineer. Data Platform - TikTok-US-Tech Services,TikTok,Mountain View. CA,Experience in performing data analysis. data ingestion and ETL(Extraction. Transformation & Loading). Establish solid design and best engineering practice for
Data Engineer,Kollasoft Inc,Fremont. CA 94555 (Ardenwood area),Data modeling and data pipeline development. Data modeling and data pipeline development: 8 years (Required). Must sit in California or Seattle. WA (no remote).
Data Engineer,TikTok,Mountain View. CA,6、Collaborate team members (e.g.. data architects. data scientists) on the projects goals. 3、Recommend different ways to constantly improve data reliability
Software Engineer. SaaS Data Protection,Rubrik Job Board,Palo Alto. CA+1 location,You will design. build. and maintain Rubriks cloud data protection services. Experience in data structures. algorithms. software design. and systems analysis.
Data Engineer (Full Time) United States,Cisco Systems,San Jose. CA,Analyze structural requirements for data storage solutions and software. Data Engineers are focused on enabling a data driven approach to optimization by
Data Engineer,SIS,Austin. CA,Experience in implementing data pipelines using python. Work with team members to assist with data-related technical issues and support their data product needs
Senior Quality Assurance Engineer - Core Data Services,Live Nation,Los Angeles. CA 90012,Our mission is to make reliable data available and enable value creation by the data community of engineers. analysts and decision makers.
Software Engineer Data Pipeline,Rapid7,San Francisco. CA 94103 (South of Market area)•Temporarily Remote,This includes data collection. and outbound data transfer. Experience with data/workflow engines a plus. Excellent understanding of distributed data streaming
Data Engineer. Data Platform,Peloton,Santa Clara. CA,As a part of the Data Platform team. you will be working across a wide range of problems in the data ingestion. data compute. data transport. data orchestration
Data Engineer (Remote),Wurl. Inc,California•Remote,Wurl is seeking a detail-oriented data scientist/engineer with strong analytical and communication skills to join and grow with our data analytics team.
AWS Data Engineer,Infostretch Corporation,Santa Clara. CA 95054,Build and maintain the infrastructure and data pipelines required for optimal extraction. transformation. and loading of data from a wide variety of data
Data Engineer/Analyst,Proofpoint,Sunnyvale. CA 94085,Create Enterprise-class reports and visualizations into the data. Provide your expertise in understanding how data can be consumed across services.
Data Engineer - All Levels,FanDuel,Los Angeles. CA 90045 (Westchester area),Our competitive edge comes from making decisions based on accurate and timely data. You should be comfortable building complex yet performant SQL queries on
Data Engineer,Saama Technologies Inc,Campbell. CA 95008,1+ years in a data engineering role. Experience with building stream and batch data processing systems. Collaborate with Integration team to build ETL processes
Data Engineer,RIOS Intelligent Machines. Inc.,San Francisco Bay Area. CA,Knowledge in scaling data-driven systems. Experience architecting data infrastructure for machine learning applications. Flexible time off & paid holidays.
Data Engineer,Ironclad. Inc.,San Francisco. CA,Experience in optimizing data pipeline architecture. maintaining data flows. and ensuring consistent data collection for cross functional teams.
Senior Data Engineer BI/ETL,eCivis,Pasadena. CA 91103 (West Central area),Detect data quality issues. identify their root causes. implement fixes. and design data audits to capture issues. Experience with Amazon SageMaker is a plus.
Data Infrastructure Engineer,Cisco Systems,San Jose. CA,Data governance – experienced in developing and integrating software allowing for flexible and scalable data transformation with data quality controls.
Sr. Data Engineer,sweetgreen,California•Remote,Deep understanding of data pipelines and data transformation. Work with the lead engineer and engineering manager to understand the data lake and ETL
Data Engineer. Marketing,Square,San Francisco. CA,Make data model and ETL code improvements to improve pipeline efficiency and data quality. Analyze new data sources and work with stakeholders to understand the
Senior Machine Learning Data Engineer,Moveworks,Mountain View. CA,4+ years of experience as data platform engineer. Build data lake and implement data cataloging platform for easy data discovery and availability.
Senior Data Engineer,KPI Partners,Newark. CA 94560•Temporarily Remote,We have quite a few open positions with our direct clients in West Coast Area. USA with least or no competition. Type: Citizens. GC.H1B. H4. OPT.
Data Engineer,SZ Media,Burbank. CA,An ability to provide technical guidance. direction and problem solving to data engineering team members. 8+ years of experience as a Data Warehouse Analyst.
Data Scientist / Software Engineer (Prognostics),Tesla,Palo Alto. CA,Work with service engineers and firmware engineers to understand what features could help predict issues. Schedule and operate your model in a production data
Data Visualization Engineer (Tableau Developer),Luxoft,Oakland. CA,Experience defining and rationalizing complex data models within data warehousing environment. Knowledge of data warehousing and information management best
Data Engineer,HCL Technologies,Sunnyvale. CA•Temporarily Remote,Should have working experience of using Spark data frame and data sets. _*Candidates must be authorized to work in the U.S. We are unable to sponsor work visas
Data Engineer,IT Hub Inc.,Long Beach. CA 90822,Demonstrated ability to analyze large data sets to identify gaps and inconsistencies. provide data insights. and advance effective product solutions.
Data Engineer,Petco,San Diego. CA 92127 (Rancho Bernardo area),3-5 years experience with data engineering using Python based data pipelines. 3-5 years experience in loading source system data extracts into data warehouse.
Data Engineer,Johnson Controls,San Jose. CA,Design and implement scalable and reliable data models for our data. Design and build efficient data pipelines to move data across systems – SQL. NoSQL. GCP.
Associate. Data Engineer,KPMG,Irvine. CA 92618+2 locations,Assist with conducting data design. API design and application component architecture. Experience with RDBS and NoSQL Databases such as Postgres. MySQL. Mongo.
Data Engineer,Deloitte,San Jose. CA 95113 (Downtown area),Implement large-scale data ecosystems including data management. governance and the integration of structured and unstructured data to generate insights
Senior Visualization Data Engineer,Activision,Santa Monica. CA,3+ years of experience as a data engineer. Help shape the growth of in-house data resources to support business Intelligence. analytics. and data science.
PySpark Data Engineer. Consultant,Deloitte,Los Angeles. CA 90013 (Downtown area)+5 locations,2+ years of hands on experience with data core modernization and data ingestion. Implement large-scale data ecosystems including data management. governance and
Data Engineer,SS&C Technologies,San Francisco. CA 94104 (Financial District area),Skills of transforming data. developing data structures. building a metadata store. setting up data pipelines or data workflows. Passion of big data platform.
Big Data Engineer,Adobe,San Jose. CA,Interface with internal data science. engineering and data consumer teams to understand the data needs. We are looking for a passionate big data engineer who
Data Engineer,Panasonic Corporation of North America,Palo Alto. CA,Experience with visualizing data (e.g. data dashboards). You will work in a small team of data science and algorithm engineers to expand our internal and
Senior Data Engineer,AltaMed Health Services Corporation,Montebello. CA 90640•Remote,Proficiency in all facets of DW Architecture. data flow strategy. data modeling. metadata and master data management.
Sr. Data Engineer,Sharecare Inc.,Palo Alto. CA 94301 (Professorville area),Build data ingestion engine. data processing using Python. synchronizing data between up and down stream systems; AWS and GCS.
Machine Learning Engineer. Risk Data Mining,TikTok,Mountain View. CA,Reason and communicate in result-oriented. data-driven manner. Protect TikTok users. including and beyond content consumers. creators. advertisers;
Data Engineer,Reformation,Vernon. CA,Experience developing data pipelines and logical data models within cloud data warehouses. Gather and understand data requirements. build complex data pipelines
Data Engineer,NBCUniversal,List. CA+1 location,Knowledge of data management fundamentals and data storage principles. Interface with other technology teams to extract. transform. and load data from a wide
Data Engineer,Obsidian Security,Newport Beach. CA 92660+1 location,This expert engineer will be expected to have both deep technical skills in data architecture and big data. as well as leadership and organizational skills.
Data Engineer. Core Growth,Snapchat,Los Angeles. CA 90291 (Venice area),Democratize data access amongst engineers. PMs. and scientists with well-documented and extensible pipelines and datasets. Experience with Airflow and Druid.
Data Engineer. Core Growth,Snapchat,Los Angeles. CA 90291 (Venice area),Democratize data access amongst engineers. PMs. and scientists with well-documented and extensible pipelines and datasets. Experience with Airflow and Druid.
Sr. Data Engineer,Roku,San Jose. CA,Deep understanding of key algorithms and tools for developing high efficiency data processing systems. Partner with Machine Learning engineers and develop our
Sr. Data/Systems Engineer,Tesla,Fremont. CA,Perform data quality validations to ensure data creation. Acquire data from primary or secondary data sources and maintain databases/data systems to empower
AWS Data Engineer,AUTOCONTENT,Irvine. CA,Looking for AWS Data engineer. Experienced in using various AWS services related to Data. Job Types: Full-time. Contract.
ML Data Infrastructure Engineer,Aluna,San Francisco. CA•Remote,Experience working with regulated data such as medical or financial data. Assist in building web-based data labeling tools with optimized UI/UX to enable
