,location,job search,Counts
214,San Diego,data scientist,33
215,San Diego,data engineer,12
216,San Dimas,data analyst,2
217,San Francisco,data scientist,218
218,San Francisco,data analyst,152
219,San Francisco,data engineer,114
220,San Francisco Bay Area,data scientist,16
221,San Francisco Bay Area,data analyst,10
222,San Francisco Bay Area,data engineer,3
223,San Gabriel Valley,data analyst,2
224,San Jose,data scientist,46
225,San Jose,data analyst,26
226,San Jose,data engineer,23
227,San Leandro,data analyst,3
228,San Luis Obispo,data analyst,8
229,San Marcos,data analyst,4
230,San Mateo,data scientist,14
231,San Mateo,data engineer,11
232,San Mateo,data analyst,5
233,San Rafael,data analyst,2
234,San Ramon,data analyst,20
235,San Ramon,data scientist,5
236,Santa Ana,data analyst,12
237,Santa Ana,data scientist,5
238,Santa Ana,data engineer,1
239,Santa Barbara,data analyst,5
240,Santa Barbara,data engineer,2
241,Santa Barbara,data scientist,2
242,Santa Clara,data scientist,34
243,Santa Clara,data analyst,24
244,Santa Clara,data engineer,21
245,Santa Clara Valley,data scientist,46
246,Santa Clara Valley,data analyst,5
247,Santa Cruz,data scientist,2
248,Santa Cruz,data analyst,1
249,Santa Cruz County,data analyst,2
250,Santa Monica,data engineer,23
251,Santa Monica,data analyst,17
252,Santa Monica,data scientist,10
253,Santa Rosa,data analyst,1
254,Santa Ynez,data analyst,1
255,Scotts Valley,data analyst,2
256,Seal Beach,data analyst,1
257,Seaside,data analyst,1
258,Sherman Oaks,data analyst,1
259,Silicon Valley,data analyst,2
260,Silicon Valley,data scientist,2
261,Silicon Valley,data engineer,1
262,South San Francisco,data scientist,22
263,South San Francisco,data engineer,1
264,Stanford,data analyst,4
265,Stanford,data scientist,4
266,Stanford,data engineer,1
267,Stockton,data analyst,2
268,Sunnyvale,data analyst,29
269,Sunnyvale,data scientist,23
270,Sunnyvale,data engineer,10
271,Sylmar,data analyst,2
272,Temporarily Remote,data scientist,1
273,Thousand Oaks,data scientist,5
274,Thousand Oaks,data analyst,3
275,Thousand Oaks,data engineer,2
276,Torrance,data scientist,3
277,Torrance,data analyst,2
278,Tustin,data analyst,3
279,Tustin,data scientist,2
280,Union City,data analyst,2
281,United States,data analyst,3
282,United States,data scientist,1
283,United Statesâ€¢Remote,data analyst,1
284,Universal City,data analyst,3
285,Upland,data analyst,2
286,Vacaville,data scientist,1
287,Valencia,data analyst,1
288,Valencia,data scientist,1
289,Vandenberg AFB,data analyst,4
290,Venice,data engineer,1
291,Venice,data scientist,1
292,Vernon,data engineer,2
293,Vernon,data analyst,1
294,Vista,data analyst,3
295,Walnut Creek,data engineer,1
296,West Hills,data analyst,1
297,West Hollywood,data analyst,4
298,West Hollywood,data scientist,2
299,West Sacramento,data analyst,1
300,West Sacramento,data scientist,1
301,Westlake Village,data analyst,3
302,Westlake Village,data scientist,2
303,Woodland Hills,data analyst,4
304,Woodland Hills,data engineer,3
305,Woodland Hills,data scientist,1
